rule_id,partner,partner_id,bereich,regel_typ,regel,aktion,pflicht,verbot,quelle,status
RULE_TC_001,Tarifcheck,165274,Tracking,Affiliate-Link,Affiliate Links müssen mit korrektem Partner Tracking verwendet werden,Tracking Parameter erhalten,Ja,,Tarifcheck Partnerprogramm,ACTIVE
RULE_TC_002,Tarifcheck,165274,Werbung,Kennzeichnung,Affiliate Links und Werbemittel müssen als Werbung oder Anzeige gekennzeichnet werden,Hinweis vor Link oder Banner setzen,Ja,,Tarifcheck Partnerprogramm,ACTIVE
RULE_TC_003,Tarifcheck,165274,Content,Tippgeber,Free Basics ist Tippgeber und nicht Versicherungsvermittler,Tippgeber Hinweis verwenden,Ja,,Tarifcheck Partnerprogramm,ACTIVE
RULE_TC_004,Tarifcheck,165274,Landingpage,Pflicht Hinweis,powered by TARIFCHECK24 GmbH muss sichtbar sein,Hinweis einfügen,Ja,,Tarifcheck Partnerprogramm,ACTIVE
RULE_TC_005,Tarifcheck,165274,Content,Verbot,Keine kopierten Inhalte oder Grafiken von Tarifcheck verwenden,Eigene Inhalte erstellen,,Ja,Tarifcheck Partnerprogramm,ACTIVE
RULE_AMZ_001,Amazon PartnerNet,,Tracking,Tracking-ID,Amazon Affiliate Tracking-ID verwenden,Affiliate Link erstellen,Ja,,Amazon PartnerNet,ACTIVE
RULE_AMZ_002,Amazon PartnerNet,,Rechte,Bildrechte,Produktbilder nur nach Amazon Regeln verwenden,Offizielle Quellen verwenden,Ja,,Amazon PartnerNet,ACTIVE
RULE_AMZ_003,Amazon PartnerNet,,API,API Nutzung,Keine API Integration ohne Freigabe und Voraussetzungen,Keine API einplanen,,Ja,Amazon PartnerNet,ACTIVE
RULE_TEL_001,Telekom,,Landingpage,Verlinkung,Telekom Produkte direkt über Telekom Shop URL verwenden,Shop URL nutzen,Ja,,Telekom Partnerprogramm,ACTIVE
RULE_TEL_002,Telekom,,Landingpage,Verbot,Keine eigenen Telekom Landingpages erstellen,Direktlink verwenden,,Ja,Telekom Partnerprogramm,ACTIVE
RULE_CHK_001,Check24,,Tracking,Affiliate-Link,Nur eigene Partner Tracking Links verwenden,Tracking Link korrekt setzen,Ja,,Check24 Partnerprogramm,ACTIVE
RULE_CHK_002,Check24,,Content,Markenregeln,"Keine unerlaubte Nutzung von Marken, Logos oder geschützten Inhalten",Nur erlaubte Inhalte verwenden,,Ja,Check24 Partnerprogramm,ACTIVE
RULE_CHK_003,Check24,,SEO,SEA Regel,Keine unerlaubte Markenwerbung oder geschützte Suchbegriffe verwenden,SEO Regeln prüfen,,Ja,Check24 Partnerprogramm,ACTIVE
RULE_CONG_001,Congstar,,Tracking,Affiliate-Link,Nur freigegebene Partner Tracking Links verwenden,Tracking korrekt setzen,Ja,,Congstar Partnerprogramm,ACTIVE
RULE_CONG_002,Congstar,,Werbemittel,Assets,Nur erlaubte Werbemittel verwenden,Partner Assets prüfen,Ja,,Congstar Partnerprogramm,ACTIVE
AMZ_099,amazon,freebasics-21,Tracking,Cookie-Laufzeit,Das Standard-Tracking-Cookie für Amazon-Affiliate-Links besitzt eine Gültigkeitsdauer von 24 Stunden.,Käufe innerhalb des 24-Stunden-Fensters tätigen lassen für Standard-Provision,NEIN,NEIN,"unybrands Artikel (Okt 20, 2023)",ACTIVE
AMZ_100,amazon,freebasics-21,Tracking,Warenkorb-Fenster,"Wird ein Produkt innerhalb der 24 Stunden in den Warenkorb gelegt, verlängert sich das Provisionsfenster für den anschließenden Kauf auf bis zu 90 Tage.",Käufe über den Warenkorb innerhalb von 90 Tagen abschließen,NEIN,NEIN,"unybrands Artikel (Okt 20, 2023)",ACTIVE
AMZ_101,amazon,freebasics-21,Restriktion,Kanalverbot,Die Verbreitung und der Versand von Amazon-Affiliate-Links über E-Mail-Marketing ist untersagt.,Affiliate-Links nicht in E-Mails oder Newslettern versenden,NEIN,JA,"unybrands Artikel (Okt 20, 2023)",ACTIVE
AMZ_102,amazon,freebasics-21,Transparency,Link-Tarnung,Das Verbergen/Cloaking von Links sowie das Verschweigen der Zugehörigkeit zum Amazon-Partnerprogramm ist verboten.,Affiliate-Links transparent kennzeichnen und Partner-Status nicht verbergen,JA,JA,"unybrands Artikel (Okt 20, 2023)",ACTIVE
AMZ_103,amazon,freebasics-21,Registrierung,Deklaration,"Alle Webseiten oder Blogs, auf denen Affiliate-Links eingebunden werden, müssen bei der Anmeldung angegeben bzw. im Partnerkonto hinterlegt werden.",Sämtliche genutzten Channels/Websites im PartnerNet registrieren,JA,NEIN,"unybrands Artikel (Okt 20, 2023)",ACTIVE
AMZ_104,amazon,freebasics-21,Steuern,Steuerpflicht,Einnahmen aus dem Amazon-Affiliate-Marketing gelten als gewerbliche Einkünfte und müssen bei der Einkommenssteuer angegeben werden.,Affiliate-Einnahmen ordnungsgemäß versteuern,JA,NEIN,"unybrands Artikel (Okt 20, 2023)",ACTIVE
AMZ_105,amazon,freebasics-21,Steuern,Abrechnung,Für Auszahlungen durch Amazon (Sitz in Luxemburg) gilt das Reverse-Charge-Verfahren im Rahmen der Umsatzsteuer-Voranmeldung.,Umsatzsteuerliche Behandlung gemäß Reverse-Charge-Verfahren durchführen,JA,NEIN,"unybrands Artikel (Okt 20, 2023)",ACTIVE
AMZ_106,amazon,freebasics-21,Disclosure,Link-Kennzeichnung,"Jeder Affiliate-Link muss direkt in der Nähe klar und auffällig als Werbung gekennzeichnet sein (z. B. ""(bezahlter Link)"", ""#Anzeige"" oder ""#VerdientProvisionen"").",Kurze Werbekennzeichnung direkt am Link platzieren,JA,NEIN,Amazon Hilfeseite (Ausweisung als Associate),ACTIVE
AMZ_107,amazon,freebasics-21,Disclosure,Partner-Hinweis,"Auf der Website bzw. im Profil sozialer Medien muss die vorgeschriebene Erklärung ""Als Amazon-Partner verdiene ich an qualifizierten Verkäufen."" klar und auffällig eingebunden sein.",Offizielle Partnererklärung im Profil oder auf der Website anzeigen,JA,NEIN,Amazon Hilfeseite (Ausweisung als Associate),ACTIVE
AMZ_108,amazon,freebasics-21,PR & Marketing,Pressemitteilungen,Pressemitteilungen dürfen keine Verweise auf Amazon.de im Zusammenhang mit der Teilnahme am Partnerprogramm enthalten.,Verweise auf Amazon-Partnerschaft in Pressemitteilungen unterlassen,NEIN,JA,Amazon Hilfeseite (Pressemitteilungen),ACTIVE
AMZ_109,amazon,freebasics-21,Restriktion,Eigenbestellung,"Partner dürfen keine Produkte über ihre eigenen Partner-Links für sich selbst, Freunde, Verwandte, Partner oder für/im Namen von Kunden bestellen. Für solche Käufe wird keine Empfehlungsvergütung gezahlt.",Eigenkäufe und Käufe für das persönliche/geschäftliche Umfeld über eigene Links unterlassen,NEIN,JA,Amazon Hilfeseite (Bestellungen für sich selbst),ACTIVE
AMZ_110,amazon,freebasics-21,Restriktion,Popups,"Partner dürfen keine Popup-Fenster (oder Popunder) verwenden, um Besucher, Angebote oder Traffic auf Amazon.de umzuleiten.",Einbindung von Affiliate-Links oder Amazon-Angeboten in Popup-Fenstern unterlassen,NEIN,JA,Amazon Hilfeseite (Popupfenster),ACTIVE
AMZ_111,amazon,freebasics-21,Branding / Domain,Domain-Namen,"Domains dürfen weder das Wort „Amazon“, ähnlich aussehende Wörter noch Tippfehler-Varianten davon enthalten oder gegen Urheberrechte Dritter verstoßen.",Domainnamen ohne Amazon-Markenbegriffe oder Schutzrechtsverletzungen wählen,NEIN,JA,Amazon Hilfeseite (Richtlinien zur URL),ACTIVE
AMZ_112,amazon,freebasics-21,Restriktion,Gutscheincodes,Das Veröffentlichen von Amazon.de-Gutscheincodes auf der eigenen Website ist nicht gestattet.,Veröffentlichung von Amazon.de-Gutscheincodes unterlassen,NEIN,JA,Amazon Hilfeseite (Gutscheincodes),ACTIVE
