section_no,section_id,section_code,section_name,section_mandatory,field_position,field_id,field_name,label,description,required,data_type,source,partner_scope,seo_relevant,schema_relevant,compliance_relevant,accessibility_relevant,translation_relevant,ai_generated,editable,validation_rule,default_value,status,version,updated_at
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,1,TECH_001,page_id,Page Id,Eindeutige Seiten-ID,YES,String,System,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,2,TECH_002,slug,Slug,URL-Slug der Landingpage,YES,String,System,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,3,TECH_003,canonical_url,Canonical Url,Kanonische Produktions-URL,YES,URL,SEO Engine,ALL,True,True,False,False,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,4,TECH_004,page_url,Page Url,Öffentliche Seiten-URL,YES,URL,Publisher,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,5,TECH_005,language,Language,Seitensprache,YES,String,Config,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,6,TECH_006,country,Country,Zielland,YES,String,Config,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,7,TECH_007,currency,Currency,Standardwährung,YES,String,Config,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,8,TECH_008,page_title,Page Title,Interner Seitentitel,YES,String,Content Engine,ALL,True,True,False,False,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,9,TECH_009,meta_description,Meta Description,Meta-Beschreibung,YES,String,Content Engine,ALL,True,True,False,False,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,10,TECH_010,meta_keywords,Meta Keywords,Optionale Suchbegriffe,NO,JSON,SEO Engine,ALL,True,True,False,False,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,11,TECH_011,robots_index,Robots Index,Indexierung erlaubt,YES,Boolean,SEO Engine,ALL,True,True,False,False,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,12,TECH_012,robots_follow,Robots Follow,Linkverfolgung erlaubt,YES,Boolean,SEO Engine,ALL,True,True,False,False,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,13,TECH_013,og_title,Og Title,Open-Graph-Titel,YES,String,Content Engine,ALL,True,True,False,False,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,14,TECH_014,og_description,Og Description,Open-Graph-Beschreibung,YES,String,Content Engine,ALL,True,True,False,False,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,15,TECH_015,og_image,Og Image,Open-Graph-Bild,NO,URL,Asset Engine,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,16,TECH_016,twitter_title,Twitter Title,Social-Titel,NO,String,Content Engine,ALL,True,True,False,False,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,17,TECH_017,twitter_description,Twitter Description,Social-Beschreibung,NO,String,Content Engine,ALL,True,True,False,False,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,18,TECH_018,twitter_image,Twitter Image,Social-Vorschaubild,NO,URL,Asset Engine,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,19,TECH_019,schema_type,Schema Type,Primärer Schema.org-Typ,YES,Enum,Schema Engine,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,20,TECH_020,schema_json,Schema Json,Generierter JSON-LD-Block,YES,JSON,Schema Engine,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,21,TECH_021,hreflang,Hreflang,Sprach- und Länderzuordnungen,NO,JSON,SEO Engine,ALL,True,True,False,False,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,22,TECH_022,sitemap_status,Sitemap Status,Sitemap-Status,YES,Enum,SEO Engine,ALL,True,True,False,False,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,23,TECH_023,publish_status,Publish Status,Veröffentlichungsstatus,YES,Enum,Workflow Engine,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,24,TECH_024,created_at,Created At,Erstellungszeitpunkt,YES,Datetime,System,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,25,TECH_025,updated_at,Updated At,Letzte Änderung,YES,Datetime,System,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,26,TECH_026,published_at,Published At,Veröffentlichungszeitpunkt,NO,Datetime,Publisher,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,27,TECH_027,last_review_at,Last Review At,Letzte Prüfung,YES,Datetime,Quality Engine,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,28,TECH_028,version,Version,Inhaltsversion,YES,String,Version Engine,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,29,TECH_029,template_version,Template Version,Template-Version,YES,String,Template Engine,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,30,TECH_030,compliance_version,Compliance Version,Compliance-Regelversion,YES,String,Compliance Engine,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,31,TECH_031,seo_score,Seo Score,Interner SEO-Wert,YES,Decimal,SEO Engine,ALL,True,True,False,False,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,32,TECH_032,accessibility_score,Accessibility Score,Accessibility-Wert,YES,Decimal,Accessibility Engine,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,33,TECH_033,quality_score,Quality Score,Gesamtqualitätswert,YES,Decimal,Quality Engine,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,34,TECH_034,author_id,Author Id,Autor oder Engine,YES,String,System,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,35,TECH_035,reviewer_id,Reviewer Id,Prüfer,NO,String,Workflow Engine,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,36,TECH_036,ai_model,Ai Model,Verwendetes AI-Modell,NO,String,Content Engine,ALL,True,True,False,False,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,37,TECH_037,generation_id,Generation Id,Generierungs-ID,NO,String,Content Engine,ALL,True,True,False,False,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,38,TECH_038,source_system,Source System,Ursprungssystem,YES,Enum,System,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,39,TECH_039,page_status,Page Status,"ACTIVE, REVIEW oder DISABLED",YES,Enum,System,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
1,MLP_SECTION_01,TECH,Technische Seitendaten,True,40,TECH_040,notes,Notes,Interne Hinweise,NO,Text,Redaktion,ALL,True,True,False,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,1,NAV_001,navigation_id,Navigation Id,Eindeutige Navigations-ID,YES,String,System,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,2,NAV_002,navigation_version,Navigation Version,Version der Navigation,YES,String,System,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,3,NAV_003,logo_url,Logo Url,Logo-Datei,YES,URL,Asset Engine,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,4,NAV_004,logo_alt,Logo Alt,Alternativtext des Logos,YES,String,Content Engine,ALL,False,False,False,True,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,5,NAV_005,home_url,Home Url,Link zur Startseite,YES,URL,Config,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,6,NAV_006,primary_menu,Primary Menu,Hauptmenü,YES,JSON,Navigation Engine,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,7,NAV_007,secondary_menu,Secondary Menu,Zusatzmenü,NO,JSON,Navigation Engine,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,8,NAV_008,mobile_menu,Mobile Menu,Mobile Navigation,YES,JSON,Navigation Engine,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,9,NAV_009,sticky_navigation,Sticky Navigation,Sticky Header aktiv,NO,Boolean,Config,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,10,NAV_010,search_enabled,Search Enabled,Seitensuche aktiv,YES,Boolean,Config,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,11,NAV_011,search_placeholder,Search Placeholder,Suchfeld-Platzhalter,NO,String,Content Engine,ALL,False,False,False,True,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,12,NAV_012,category_menu,Category Menu,Kategorienavigation,YES,JSON,Navigation Engine,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,13,NAV_013,footer_navigation,Footer Navigation,Footer-Menü,YES,JSON,Navigation Engine,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,14,NAV_014,language_switcher,Language Switcher,Sprachumschaltung,NO,Boolean,Config,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,15,NAV_015,current_language,Current Language,Aktive Sprache,YES,String,Config,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,16,NAV_016,accessibility_skiplink,Accessibility Skiplink,Skip-Link vorhanden,YES,Boolean,Accessibility Engine,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,17,NAV_017,breadcrumb_enabled,Breadcrumb Enabled,Breadcrumb aktiv,YES,Boolean,Navigation Engine,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,18,NAV_018,breadcrumb_source,Breadcrumb Source,Automatisch oder manuell,YES,Enum,Navigation Engine,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,19,NAV_019,active_menu_item,Active Menu Item,Aktiver Menüpunkt,YES,String,Navigation Engine,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
2,MLP_SECTION_02,NAV,Globale Navigation,True,20,NAV_020,navigation_status,Navigation Status,"ACTIVE, REVIEW oder DISABLED",YES,Enum,System,ALL,False,False,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,1,BCR_001,breadcrumb_id,Breadcrumb Id,Eindeutige Breadcrumb-ID,YES,String,System,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,2,BCR_002,breadcrumb_enabled,Breadcrumb Enabled,Breadcrumb aktiv,YES,Boolean,Config,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,3,BCR_003,breadcrumb_type,Breadcrumb Type,"Hierarchisch, Kategorie oder benutzerdefiniert",YES,Enum,Navigation Engine,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,4,BCR_004,breadcrumb_depth,Breadcrumb Depth,Anzahl der Ebenen,YES,Integer,Navigation Engine,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,5,BCR_005,breadcrumb_items,Breadcrumb Items,Gesamte Breadcrumb-Struktur,YES,JSON,Navigation Engine,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,6,BCR_006,level_1_name,Level 1 Name,Name der Startseite,YES,String,Navigation Engine,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
