"question","entity","topic","answer_type","source_layer"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist KOCHEN?",,"KOCHEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist KOCHEN?",,"KOCHEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist BACKEN?",,"BACKEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist KOCHEN?",,"KOCHEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist KOCHEN?",,"KOCHEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist KOCHEN?",,"KOCHEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist KOCHEN?",,"KOCHEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist KOCHEN?",,"KOCHEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist KOCHEN?",,"KOCHEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist COMMUNITY?",,"COMMUNITY","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist COMMUNITY?",,"COMMUNITY","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist COMMUNITY?",,"COMMUNITY","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ERNÄHRUNG?",,"ERNÄHRUNG","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist BACKEN?",,"BACKEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist GESUNDHEIT?",,"GESUNDHEIT","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist GESUNDHEIT?",,"GESUNDHEIT","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist BACKEN?",,"BACKEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist BACKEN?",,"BACKEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ERNÄHRUNG?",,"ERNÄHRUNG","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist COMMUNITY?",,"COMMUNITY","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist COMMUNITY?",,"COMMUNITY","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist COMMUNITY?",,"COMMUNITY","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist BACKEN?",,"BACKEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist COMMUNITY?",,"COMMUNITY","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist COMMUNITY?",,"COMMUNITY","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist COMMUNITY?",,"COMMUNITY","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist GESUNDHEIT?",,"GESUNDHEIT","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist KOCHEN?",,"KOCHEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist KOCHEN?",,"KOCHEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist BACKEN?",,"BACKEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist KOCHEN?",,"KOCHEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist KOCHEN?",,"KOCHEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist KOCHEN?",,"KOCHEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist KOCHEN?",,"KOCHEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist KOCHEN?",,"KOCHEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
