"source","target","anchor","cluster","topic"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.funkemedien.de/de/","","SONSTIG","ALLGEMEIN"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/","","SONSTIG","ALLGEMEIN"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/wochenplaner/","î¥—Wochenplaner","SONSTIG","ALLGEMEIN"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/mein-kochbuch/","î¥„Kochbuch","SONSTIG","ALLGEMEIN"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/benutzer/einloggen?context=login/init","Anmelden","SONSTIG","ALLGEMEIN"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/wochenplaner/","Wochenplanerî¥—","SONSTIG","ALLGEMEIN"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/mein-kochbuch/","Kochbuchî¥„","SONSTIG","ALLGEMEIN"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/kochstars","Unsere PLUS Profile","SONSTIG","ALLGEMEIN"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/kochstars/thema-des-monats","Rezepte des Monats","SONSTIG","ALLGEMEIN"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/plus-rezepte-aus-magazinen","Rezepte aus Magazinen","MAGAZIN","KOCHEN"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/plus?ck_element=header_link","Mehr Ã¼ber PLUS erfahrenî¤–","SONSTIG","ALLGEMEIN"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/chefkoch-abo/?ck_source=header&amp;ck_element=header_CTA","Jetzt kostenlos testen","SONSTIG","ALLGEMEIN"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/plus?ck_element=header_image","","SONSTIG","ALLGEMEIN"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/rezepte/was-koche-ich-heute/","Was koche ich heute?","REZEPTE","KOCHEN"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/rezepte/was-backe-ich-heute/","Was backe ich heute?","REZEPTE","BACKEN"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/rezeptsammlungen/","Rezeptsammlungen","SONSTIG","ALLGEMEIN"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/rezeptempfehlungen/","Rezeptempfehlungen","REZEPTE","KOCHEN"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","https://www.chefkoch.de/magazin/kategorie/528517922-das-perfekte-dinner","Das Perfekte Dinner","MAGAZIN","MAGAZIN"
