"file","level","heading","semantic_role"
"C:\Meine Webseiten\freebasis\index.html","H1","Index of locally available sites:","MAIN_ENTITY"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H1","Salat im Glas: praktisch und lecker","MAIN_ENTITY"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H1","Spaghetti in Schinken-Sahne-SoÃŸe","MAIN_ENTITY"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H1","Saftiges GebÃ¤ck mit Aprikosen","MAIN_ENTITY"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H1","Gesunde ErnÃ¤hrung im Alltag","MAIN_ENTITY"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H1","Wir suchen eure liebsten Urlaubsrezepte!","MAIN_ENTITY"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H1","Kohlrabi â€“ Knolle mit frischem Aroma","MAIN_ENTITY"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H1","Empfange unsere Rezepte kostenlos auf deinem Smartphone","MAIN_ENTITY"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H1","Die besten Nudelsalate bei Chefkoch","MAIN_ENTITY"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H1","Jetzt einfach alle Rezepte importieren","MAIN_ENTITY"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H1","Hilf uns, CHEFKOCH noch besser zu machen","MAIN_ENTITY"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H2","Rezept des Tages","TOPIC_CLUSTER"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H2","Highlights der Redaktion","TOPIC_CLUSTER"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H2","Inspiration fÃ¼r jeden Tag","TOPIC_CLUSTER"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H2","Inspiration aus der Redaktion","TOPIC_CLUSTER"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H2","Unsere Themenwelten","TOPIC_CLUSTER"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H2","Neue Sammlungen","TOPIC_CLUSTER"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H2","Schon probiert?","TOPIC_CLUSTER"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H2","Trends im August","TOPIC_CLUSTER"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H2","Dein Chefkoch PLUS","TOPIC_CLUSTER"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H2","Leckere Rezepte von Profis","TOPIC_CLUSTER"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H2","Aktuell beliebte Rezepte","TOPIC_CLUSTER"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H2","Wir lieben backen","TOPIC_CLUSTER"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H2","Vegetarisch &amp; vegan","TOPIC_CLUSTER"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","H2","Neue Rezepte","TOPIC_CLUSTER"
