article_id,product_id,title,slug,category,keyword,content,seo_title,meta_description,featured_image,related_products,related_landingpage,affiliate_link,asset_html,status,created_at,updated_at
ART_CHK24_004,CHK24_004,DSL,dsl,DSL,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>DSL</h2>

    <p>
    Hier finden Sie Informationen zu
    DSL und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",DSL | Free Basics,Informationen zu DSL.,,/produkte,/lp/CHK24_004,https://a.check24.net/misc/click.php?pid=354456&aid=18&deep=dsl-anbieterwechsel&cat=4,,ready,2026-07-19T16:05:54.554569,2026-07-19T16:05:54.554584
ART_CHK24_005,CHK24_005,Mobilfunk,mobilfunk,Mobilfunk,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Mobilfunk</h2>

    <p>
    Hier finden Sie Informationen zu
    Mobilfunk und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Mobilfunk | Free Basics,Informationen zu Mobilfunk.,,/produkte,/lp/CHK24_005,https://a.check24.net/misc/click.php?pid=354456&aid=18&deep=handytarife&cat=7,,ready,2026-07-19T16:05:54.920033,2026-07-19T16:05:54.920046
ART_CHK24_002,CHK24_002,Oekostrom,oekostrom,Oekostrom,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Oekostrom</h2>

    <p>
    Hier finden Sie Informationen zu
    Oekostrom und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Oekostrom | Free Basics,Informationen zu Oekostrom.,,/produkte,/lp/CHK24_002,https://a.check24.net/misc/click.php?pid=354456&aid=18&deep=oekostrom&cat=5,,ready,2026-07-19T16:05:55.732458,2026-07-19T16:05:55.732474
ART_CHK24_001,CHK24_001,Strom,strom,Strom,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Strom</h2>

    <p>
    Hier finden Sie Informationen zu
    Strom und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Strom | Free Basics,Informationen zu Strom.,,/produkte,/lp/CHK24_001,https://a.check24.net/misc/click.php?pid=354456&aid=18&deep=stromanbieter-wechseln&cat=1,,ready,2026-07-19T16:05:56.508589,2026-07-19T16:05:56.508606
ART_CHK24_003,CHK24_003,Gas,gas,Gas,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Gas</h2>

    <p>
    Hier finden Sie Informationen zu
    Gas und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Gas | Free Basics,Informationen zu Gas.,,/produkte,/lp/CHK24_003,https://a.check24.net/misc/click.php?pid=354456&aid=18&deep=gasanbieter-wechseln&cat=3,,ready,2026-07-19T16:05:56.901438,2026-07-19T16:05:56.901454
ART_CHK24_006,CHK24_006,Pauschalreise,pauschalreise,Reisen,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Pauschalreise</h2>

    <p>
    Hier finden Sie Informationen zu
    Pauschalreise und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Pauschalreise | Free Basics,Informationen zu Pauschalreise.,,/produkte,/lp/CHK24_006,https://a.check24.net/misc/click.php?pid=354456&aid=18&deep=pauschalreisen-vergleich&cat=9,,ready,2026-07-19T16:05:57.649416,2026-07-19T16:05:57.649439
ART_CHK24_007,CHK24_007,Mietwagen,mietwagen,Reisen,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Mietwagen</h2>

    <p>
    Hier finden Sie Informationen zu
    Mietwagen und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Mietwagen | Free Basics,Informationen zu Mietwagen.,,/produkte,/lp/CHK24_007,https://a.check24.net/misc/click.php?pid=354456&aid=18&deep=mietwagen-preisvergleich&cat=10,,ready,2026-07-19T16:05:57.941483,2026-07-19T16:05:57.941503
ART_CHK24_008,CHK24_008,C24 Bank,c24-bank,Finanzen,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>C24 Bank</h2>

    <p>
    Hier finden Sie Informationen zu
    C24 Bank und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",C24 Bank | Free Basics,Informationen zu C24 Bank.,,/produkte,/lp/CHK24_008,https://a.check24.net/misc/click.php?pid=354456&aid=18&deep=c24bank&cat=14,,ready,2026-07-19T16:05:58.655838,2026-07-19T16:05:58.655856
ART_TC_001,TC_001,Solaranlage,solaranlage,Solaranlage,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Solaranlage</h2>

    <p>
    Hier finden Sie Informationen zu
    Solaranlage und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Solaranlage | Free Basics,Informationen zu Solaranlage.,,/produkte,/lp/TC_001,https://a.partner-versicherung.de/click.php?partner_id=165274&ad_id=15&deep=solaranlage,,ready,2026-07-19T16:05:58.949896,2026-07-19T16:05:58.949911
ART_TC_002,TC_002,Kfz-Versicherung,kfz-versicherung,Versicherung,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Kfz-Versicherung</h2>

    <p>
    Hier finden Sie Informationen zu
    Kfz-Versicherung und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Kfz-Versicherung | Free Basics,Informationen zu Kfz-Versicherung.,,/produkte,/lp/TC_002,https://a.partner-versicherung.de/click.php?partner_id=165274&ad_id=15&deep=kfz-versicherung,,ready,2026-07-19T16:05:59.295648,2026-07-19T16:05:59.295660
